Ip-Mac,Start Date,Start Time,End Date,End Time,MB Consumption
100.71.115.82,02 Jul 24,14:46:33,03 Jul 24,02:45:00,20605.25
100.71.53.206,03 Jul 24,02:46:22,03 Jul 24,14:45:59,11214.36
100.71.56.83,03 Jul 24,14:46:31,03 Jul 24,23:13:00,10438.52
100.71.98.81,03 Jul 24,23:32:36,04 Jul 24,02:45:00,1083.78
100.71.222.46,04 Jul 24,02:46:23,04 Jul 24,14:45:59,14758.47
100.71.245.243,04 Jul 24,14:46:34,05 Jul 24,02:45:00,24127.35
100.71.3.24,05 Jul 24,02:46:23,05 Jul 24,14:45:59,18458.77
100.71.154.239,05 Jul 24,14:46:34,06 Jul 24,02:45:00,17689.16
100.71.0.149,06 Jul 24,02:46:22,06 Jul 24,14:45:59,8816.56
100.71.24.95,06 Jul 24,14:46:33,07 Jul 24,02:45:00,19953.87
100.71.129.214,07 Jul 24,02:46:24,07 Jul 24,14:45:59,11582.36
100.71.153.16,07 Jul 24,14:46:37,08 Jul 24,02:45:00,22458.17
100.71.179.189,08 Jul 24,02:46:23,08 Jul 24,14:45:59,11835.47
100.71.149.122,08 Jul 24,14:46:34,09 Jul 24,02:45:00,16183.35
100.71.88.226,09 Jul 24,02:46:23,09 Jul 24,14:45:59,11686.06
100.71.94.169,09 Jul 24,14:46:34,10 Jul 24,02:45:00,20418.32
100.71.0.128,10 Jul 24,02:46:23,10 Jul 24,14:45:59,14651.86
100.71.174.83,10 Jul 24,14:46:34,11 Jul 24,02:45:00,19763.6
100.71.252.189,11 Jul 24,02:46:22,11 Jul 24,14:45:59,12594.54
100.71.181.207,11 Jul 24,14:46:35,12 Jul 24,02:45:00,14624.62
100.71.243.220,12 Jul 24,02:46:22,12 Jul 24,09:01:00,3109.51
100.71.236.232,12 Jul 24,09:03:56,12 Jul 24,09:06:00,12.54
100.71.130.30,12 Jul 24,09:10:22,12 Jul 24,10:05:59,658.62
100.71.79.141,12 Jul 24,10:08:19,12 Jul 24,10:29:00,242.49
100.71.78.123,12 Jul 24,10:29:32,12 Jul 24,22:10:00,17332.85
100.71.232.107,12 Jul 24,22:11:37,13 Jul 24,02:45:00,1739.98
100.71.173.22,13 Jul 24,02:46:20,13 Jul 24,06:52:59,945.94
100.71.32.125,13 Jul 24,06:55:42,13 Jul 24,10:37:00,3923.92
100.71.242.136,13 Jul 24,10:39:29,13 Jul 24,10:39:59,6.78
100.71.85.78,13 Jul 24,10:40:58,13 Jul 24,22:39:59,16426.67
100.71.14.49,13 Jul 24,22:41:06,14 Jul 24,02:45:00,730.64
100.71.9.46,14 Jul 24,02:46:23,14 Jul 24,14:45:59,12191.76
100.71.37.185,14 Jul 24,14:46:33,14 Jul 24,19:45:59,9265.16
100.71.31.248,15 Jul 24,11:23:17,15 Jul 24,23:22:59,20642.05
100.71.6.168,15 Jul 24,23:23:24,16 Jul 24,02:45:00,2161.35
100.71.180.236,16 Jul 24,02:46:23,16 Jul 24,14:45:59,12649.52
100.71.26.125,16 Jul 24,14:46:28,16 Jul 24,15:01:59,292.06
100.71.133.154,16 Jul 24,15:05:39,17 Jul 24,02:45:00,16618.21
100.71.244.127,17 Jul 24,02:46:22,17 Jul 24,14:45:59,16403.6
100.71.111.128,17 Jul 24,14:46:33,17 Jul 24,22:37:59,17506.64
100.71.137.161,17 Jul 24,22:38:41,18 Jul 24,02:45:00,8589.37
100.71.237.248,18 Jul 24,02:46:22,18 Jul 24,14:45:59,17187.96
100.71.31.40,18 Jul 24,14:46:31,18 Jul 24,22:47:59,12400.4
100.71.84.182,18 Jul 24,22:49:59,19 Jul 24,02:45:00,5057.31
100.71.218.107,19 Jul 24,02:46:23,19 Jul 24,14:45:59,14598.37
100.71.62.202,19 Jul 24,14:46:34,20 Jul 24,02:45:00,21345.21
100.71.248.35,20 Jul 24,02:46:24,20 Jul 24,14:45:59,14520.67
100.71.200.48,20 Jul 24,14:46:34,20 Jul 24,20:19:00,4673.91
100.71.121.180,20 Jul 24,21:05:06,20 Jul 24,21:12:00,146.98
100.71.88.142,20 Jul 24,21:14:39,21 Jul 24,02:45:00,12733.6
100.71.164.24,21 Jul 24,02:46:20,21 Jul 24,07:23:59,631.02
100.71.2.167,21 Jul 24,07:26:43,21 Jul 24,07:42:00,57.74
100.71.129.114,21 Jul 24,07:44:57,21 Jul 24,19:44:00,21481.07
100.71.128.81,21 Jul 24,19:45:08,22 Jul 24,02:45:00,14683.33
100.71.163.97,22 Jul 24,02:46:23,22 Jul 24,14:45:59,12147.73
100.71.64.152,22 Jul 24,14:46:31,22 Jul 24,17:14:00,6573.92
100.71.141.106,22 Jul 24,17:15:53,23 Jul 24,02:45:00,13128.58
100.71.22.15,23 Jul 24,02:46:23,23 Jul 24,14:45:59,19638.32
100.71.236.77,23 Jul 24,14:46:34,24 Jul 24,02:45:00,21897.83
100.71.145.5,24 Jul 24,02:46:22,24 Jul 24,14:45:59,18916.8
100.71.215.52,24 Jul 24,14:46:28,24 Jul 24,15:57:00,2447.53
100.71.126.4,24 Jul 24,16:07:16,24 Jul 24,16:26:59,57.23
100.71.130.169,24 Jul 24,16:30:53,25 Jul 24,02:45:00,17024.62
100.71.160.37,25 Jul 24,02:46:22,25 Jul 24,14:45:59,10304.76
100.71.20.150,25 Jul 24,14:46:34,26 Jul 24,02:45:00,15395.02
100.71.21.79,26 Jul 24,02:46:22,26 Jul 24,14:14:59,7577.53
100.71.16.160,26 Jul 24,15:01:15,27 Jul 24,02:45:00,15152.18
100.71.39.241,27 Jul 24,02:46:23,27 Jul 24,14:45:59,12121.96
100.71.159.143,27 Jul 24,14:46:35,28 Jul 24,02:45:00,19156.51
100.71.186.101,28 Jul 24,02:46:20,28 Jul 24,07:44:00,945.27
100.71.221.88,28 Jul 24,10:18:54,28 Jul 24,22:18:00,22575.88
100.71.136.166,28 Jul 24,22:19:03,29 Jul 24,02:45:00,4442.41
100.71.252.89,29 Jul 24,02:46:23,29 Jul 24,14:45:59,16304.8
100.71.126.106,29 Jul 24,14:46:35,30 Jul 24,02:45:00,22902.31
100.71.73.215,30 Jul 24,02:46:22,30 Jul 24,14:45:59,13876.66
100.71.106.179,30 Jul 24,14:46:34,31 Jul 24,02:45:00,17968.67
100.71.74.179,31 Jul 24,02:46:22,31 Jul 24,14:45:59,15406.59
